STRING,LEN,FREQ,Orth,Orth_F,N1_F,N1_C,N2_F,N2_C,N3_F,N3_C,UN1_F,UN1_C,UN2_F,UN2_C,UN3_F,UN3_C,bad,frequencyBin,Pseudohomophone,category,ELP_FreqHAL,ELP_OrthN,ELP_PhonoN,ELP_MeanOrthNFreq,ELP_Concreteness,ELP_EmotionalValence,ELP_EmotionalArousal,ELP_MeanBigramCount,ELP_NPhonemes,ELP_NSyllables,ELP_PartOfSpeech,ELP_MeanRT,ELP_MeanAcc,ELPMeanAcc
acids,5,6.19,0,0,8089.11,486.6,487.87,32,10.87,3,246797.04,36990.8,9036.92,1592.5,371,139,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
aided,5,5.35,7,20.44,10118.54,437.6,1120.93,84.25,123.61,10.33,308263.63,39222.2,21309.28,3574,3302.64,315,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
aisle,5,7.62,1,0.24,10240.08,351.8,532.3,20.5,7.77,1.67,328451.76,46793,19086.91,3174.75,334.21,92,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
allah,5,6.01,1,1.67,5459,255.8,276.76,16.75,40.44,3,269668.8,30971.8,16790.14,2913.25,3576.52,536.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
alley,5,9.76,2,1.43,7922.88,459.8,480.85,29.5,42.42,3,264578.79,34623.8,21537.45,3453.5,4199.99,619.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
amuse,5,5.47,1,16.12,9392.74,259,1358.49,28.25,253.93,5,277483.49,37890.8,13992.45,2059.25,1814.65,182.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
apron,5,7.73,0,0,5105.06,218.4,186.24,21,27.01,2.67,262620.15,33934.2,21534.1,3523.5,2197.78,416.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
arena,5,5.77,1,0,8250.38,280.6,706.43,31.5,60.74,3.33,362893,45097.8,35747.86,5078.25,3521.44,288,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
array,5,7.91,1,0.36,6865.33,360,212.46,18.25,17.19,3,265821.8,34310,15797.19,2900.25,715.22,181.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
arrow,5,7.73,0,0,5187.95,249.6,191.83,16,33.93,2.33,256605.22,31770.4,18059.8,2617.75,1128.16,223,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
asset,5,7.91,1,1.13,8246.33,338.4,331.33,25.75,24.45,3.67,364541.72,49063.8,21495.78,2989.25,1690.09,376.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
attic,5,6.84,0,0,5075.27,161.8,252.89,13.5,7.3,1.67,317644.49,37869.2,25304.26,5149.25,2104.38,523,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
await,5,6.19,0,0,7847.64,274.4,521.08,23,53.78,3.67,310699,35063.4,18437.21,1615,665.94,64.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
award,5,9.7,2,49.59,8496.4,293,915.95,30.5,236.54,6.67,253038.67,29849.2,15244.23,1833.25,1959.08,299.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
awoke,5,5.95,1,25.94,8250.44,289.2,295.52,13.75,92.99,3.33,269929.76,29737,6580.11,708.75,445.07,54.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
badge,5,6.84,4,1.53,7656.81,399,438.61,41.5,64.43,6.67,243959.26,30765.2,8620.66,1348.25,367.59,80.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
baits,5,9.58,3,1.98,9974.29,697.2,854.17,87,59.25,10.33,281885.01,37991.8,16622.7,2247.25,1015.78,85,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
baron,5,6.37,3,7.14,6195.68,384.8,726.59,57,14.6,6.67,260165.59,32807.6,26870.69,4171.5,841.62,232.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
baths,5,7.14,6,3.56,7358.41,590,525.57,40.5,28.06,8.33,269740.69,30793.2,44432.16,2760.75,1015.44,223,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
beads,5,9.22,12,14.16,8633.11,626.8,1970.33,69,197.67,11,279901.93,37600.6,16707.9,1719.75,1401.21,215,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
beats,5,7.97,16,7.44,9249.36,664.8,1886.89,98.25,194.44,15.33,325057.06,41008.6,25363.37,3531.75,1535.01,232.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
belts,5,6.37,10,3.03,7388.87,617.6,840.66,82.5,70.14,11.33,282708.88,38501.6,12881.79,1871.75,591.08,88.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bingo,5,5.59,5,0.44,3993.4,293.2,423.69,45.75,33.91,10,213117.42,29575.8,31236.96,5669,10102.9,2425.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bites,5,5.83,8,5.1,10475.56,710.8,1869.02,117,110,11.67,309786.19,42310,27800.79,6021.5,1756.25,550.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bland,5,5.77,7,12.69,8831.71,377.6,1335.48,52.5,290.4,10.33,214250.86,28379.4,33092.23,3460,11764.36,493.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
blaze,5,5.59,6,8.68,8357.95,354,712.2,36.5,154.52,6.33,228458.78,29483.4,6037.35,1657.5,286.56,94.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
blend,5,6.84,5,12.02,9539.51,336,864.53,33.75,51.58,5.67,242152.04,32697.6,31392.47,4043,2832.39,597.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bliss,5,8.69,2,5.71,9462.35,570,616.91,36.5,33.18,3.33,213844.52,38014.4,18362.59,3747.25,1255.02,330.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bloom,5,6.07,3,55.51,4734.93,265.4,780.11,40.25,210.11,7.67,197062.82,24262.4,12569.32,1956.75,1180.49,153.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bluff,5,6.13,1,1.67,4226.25,208.2,321.31,28.5,34.96,5.33,108783.3,14831.4,3994.91,984.75,238.96,110,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
blunt,5,6.48,2,0.92,8449.65,309.6,1079.97,45,66.27,10,206630.91,27107,13307.28,2538,920.37,179.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
boast,5,5.12,6,18.08,11129.95,431.4,1050.97,47.75,225.93,6,285425.01,34976.2,18964.55,2823.5,1231.18,296.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bonus,5,8.8,3,19.87,9140.23,616.4,356.18,39.75,33.49,4.67,211555.89,30429.4,18281.28,2828.5,116.8,55.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
boost,5,7.56,2,3.66,11017.43,404.6,1277.5,53,104.98,7.67,273694.15,33262,15216.3,2804,1213.08,206,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
booth,5,9.16,4,11.85,9504.42,407.6,888.12,56.25,128.39,11.33,269889.65,25567.4,40123.36,1637.25,2070.17,225.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bosom,5,7.32,1,0.12,5630.75,305.6,227.31,27.25,8.21,2.67,215800.29,28566.8,12206.85,1519,1194.3,73.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bowel,5,9.94,6,5.58,9639.46,461.2,604.77,46.5,200.11,11.33,234615.01,28333.4,13271.18,1530.75,1190.83,128,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bowls,5,7.97,8,0.74,10310.61,601.6,551.39,57.75,19.87,7.33,183103.14,25812.6,6509.1,922,217.15,64,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
boxer,5,7.08,5,5.39,10943.71,469.8,2054.85,72.25,26.57,4.33,232164.36,29645.2,18500.12,3207,112.52,41.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
